[label]	assay_label	pubmedID
Let-7b and CDC34 (human) co-expression conclusion	Real-time PCR 9	PubMed 20876843
Let-7b and CDK6 (human) co-expression conclusion	Real-time PCR 7	PubMed 20876843
Let-7e and CDK6 (human) co-expression conclusion	Real-time PCR 15	PubMed 20876843
let-7b and Tlr7 (mouse) co-expression conclusion	Immunohistochemical 13	PubMed 22610069
let-7b and Tlr7 (mouse) co-expression conclusion	Immunohistochemical 13	PubMed 22610069
let-7b and Tlr7 (mouse) co-expression conclusion	Immunohistochemical 13	PubMed 22610069
let-7b and Tlr7 (mouse) co-expression conclusion	Immunohistochemical 13	PubMed 22610069
let-7b and Tlr7 (mouse) co-expression conclusion	In situ hybridization 11	PubMed 22610069
let-7b and Tlr7 (mouse) co-expression conclusion	In situ hybridization 11	PubMed 22610069
let-7b and Tlr7 (mouse) co-expression conclusion	In situ hybridization 11	PubMed 22610069
let-7b and Tlr7 (mouse) co-expression conclusion	In situ hybridization 11	PubMed 22610069
let-7b and Tlr7 (mouse) co-expression conclusion	PCR 11	PubMed 22610069
let-7b and Tlr7 (mouse) co-expression conclusion	PCR 11	PubMed 22610069
let-7b and Tlr7 (mouse) co-expression conclusion	PCR 11	PubMed 22610069
let-7b and Tlr7 (mouse) co-expression conclusion	PCR 11	PubMed 22610069
let-7b and Tlr7 (mouse) co-expression conclusion	immunostained 12	PubMed 22610069
let-7b and Tlr7 (mouse) co-expression conclusion	immunostained 12	PubMed 22610069
let-7b and Tlr7 (mouse) co-expression conclusion	immunostained 12	PubMed 22610069
let-7b and Tlr7 (mouse) co-expression conclusion	immunostained 12	PubMed 22610069
let-7b and Tlr7 (mouse) co-expression conclusion	ELISA 10	PubMed 22610069
let-7b and Tlr7 (mouse) co-expression conclusion	ELISA 10	PubMed 22610069
let-7b and Tlr7 (mouse) co-expression conclusion	ELISA 10	PubMed 22610069
let-7b and Tlr7 (mouse) co-expression conclusion	ELISA 10	PubMed 22610069
miR-1 and Igf1 (rat) co-expression conclusion	luciferase assay 20	PubMed 19245789
miR-101 and MTOR (human) co-expression conclusion	luciferase assay 37	PubMed 22989749
miR-106b and App (rat) co-expression conclusion	qPCR 44	PubMed 24401368
miR-106b and ULK1 (human) co-expression conclusion	luciferase assays 41	PubMed 22781751
miR-10a and BTRC (human) co-expression conclusion	RT-PCR 55	PubMed 20624982
miR-10a and BTRC (human) co-expression conclusion	RT-PCR 55	PubMed 20624982
miR-10a and BTRC (human) co-expression conclusion	Western blot 55	PubMed 20624982
miR-10a and BTRC (human) co-expression conclusion	Western blot 55	PubMed 20624982
miR-10a and BTRC (human) co-expression conclusion	luciferase assay 53	PubMed 20624982
miR-10a and BTRC (human) co-expression conclusion	luciferase assay 53	PubMed 20624982
miR-124 and Ptbp1 (mouse) co-expression conclusion	luciferase assays 70	PubMed 17679093
miR-124 and Ptbp2 (mouse) co-expression conclusion	luciferase assays 71	PubMed 17679093
miR-124 and SPTLC1 (human) co-expression conclusion	qRT-PCR 66	PubMed 21994399
miR-124 and SPTLC1 (human) co-expression conclusion	Western blot 66	PubMed 21994399
miR-124 and Sptlc1 (mouse) co-expression conclusion	qRT-PCR 68	PubMed 21994399
miR-124 and Sptlc1 (mouse) co-expression conclusion	qRT-PCR 68	PubMed 21994399
miR-124 and Sptlc1 (mouse) co-expression conclusion	Western blot 68	PubMed 21994399
miR-124 and Sptlc1 (mouse) co-expression conclusion	Western blot 68	PubMed 21994399
miR-124 and Sptlc1 (mouse) co-expression conclusion	qRT-PCR 67	PubMed 21994399
miR-124 and Sptlc1 (mouse) co-expression conclusion	qRT-PCR 67	PubMed 21994399
miR-124 and Sptlc1 (mouse) co-expression conclusion	Western blot 67	PubMed 21994399
miR-124 and Sptlc1 (mouse) co-expression conclusion	Western blot 67	PubMed 21994399
miR-1248 and CDK2 (human) co-expression conclusion	real-time RT-PCR 80	PubMed 24088671
miR-1248 and IL8 (human) co-expression conclusion	real-time RT-PCR 82	PubMed 24088671
miR-125a and Edn1 (mouse) co-expression conclusion	Western blot 85	PubMed 20531225
miR-125a and Edn1 (mouse) co-expression conclusion	Western blot 85	PubMed 20531225
miR-125a and Edn1 (mouse) co-expression conclusion	Western blot 85	PubMed 20531225
miR-125a and Edn1 (mouse) co-expression conclusion	luciferase assay 84	PubMed 20531225
miR-125a and Edn1 (mouse) co-expression conclusion	luciferase assay 84	PubMed 20531225
miR-125a and Edn1 (mouse) co-expression conclusion	luciferase assay 84	PubMed 20531225
miR-125a and Edn1 (mouse) co-expression conclusion	Western blot 86	PubMed 20531225
miR-125a and Edn1 (mouse) co-expression conclusion	Western blot 86	PubMed 20531225
miR-125a and Edn1 (mouse) co-expression conclusion	Western blot 86	PubMed 20531225
miR-125a and Edn1 (mouse) co-expression conclusion	real-time PCR 85	PubMed 20531225
miR-125a and Edn1 (mouse) co-expression conclusion	real-time PCR 85	PubMed 20531225
miR-125a and Edn1 (mouse) co-expression conclusion	real-time PCR 85	PubMed 20531225
miR-125a-5p and Tead4 (mouse) co-expression conclusion	qRT-PCR 91	PubMed 25059272
miR-125a-5p and Tead4 (mouse) co-expression conclusion	qRT-PCR 91	PubMed 25059272
miR-125a-5p and Tead4 (mouse) co-expression conclusion	qRT-PCR 91	PubMed 25059272
miR-125a-5p and Tead4 (mouse) co-expression conclusion	Western blot assays 92	PubMed 25059272
miR-125a-5p and Tead4 (mouse) co-expression conclusion	Western blot assays 92	PubMed 25059272
miR-125a-5p and Tead4 (mouse) co-expression conclusion	Western blot assays 92	PubMed 25059272
miR-125a-5p and Tead4 (mouse) co-expression conclusion	luciferase assay 90	PubMed 25059272
miR-125a-5p and Tead4 (mouse) co-expression conclusion	luciferase assay 90	PubMed 25059272
miR-125a-5p and Tead4 (mouse) co-expression conclusion	luciferase assay 90	PubMed 25059272
miR-125a-5p and Tead4 (mouse) co-expression conclusion	Western blot assays 91	PubMed 25059272
miR-125a-5p and Tead4 (mouse) co-expression conclusion	Western blot assays 91	PubMed 25059272
miR-125a-5p and Tead4 (mouse) co-expression conclusion	Western blot assays 91	PubMed 25059272
miR-125a-5p and Tead4 (mouse) co-expression conclusion	qRT-PCR 92	PubMed 25059272
miR-125a-5p and Tead4 (mouse) co-expression conclusion	qRT-PCR 92	PubMed 25059272
miR-125a-5p and Tead4 (mouse) co-expression conclusion	qRT-PCR 92	PubMed 25059272
miR-125b and Edn1 (mouse) co-expression conclusion	luciferase assay 96	PubMed 20531225
miR-125b and Edn1 (mouse) co-expression conclusion	luciferase assay 96	PubMed 20531225
miR-125b and Edn1 (mouse) co-expression conclusion	luciferase assay 96	PubMed 20531225
miR-125b and Edn1 (mouse) co-expression conclusion	real-time PCR 97	PubMed 20531225
miR-125b and Edn1 (mouse) co-expression conclusion	real-time PCR 97	PubMed 20531225
miR-125b and Edn1 (mouse) co-expression conclusion	real-time PCR 97	PubMed 20531225
miR-125b and Edn1 (mouse) co-expression conclusion	Western blot 97	PubMed 20531225
miR-125b and Edn1 (mouse) co-expression conclusion	Western blot 97	PubMed 20531225
miR-125b and Edn1 (mouse) co-expression conclusion	Western blot 97	PubMed 20531225
miR-125b and Edn1 (mouse) co-expression conclusion	Western blot 98	PubMed 20531225
miR-125b and Edn1 (mouse) co-expression conclusion	Western blot 98	PubMed 20531225
miR-125b and Edn1 (mouse) co-expression conclusion	Western blot 98	PubMed 20531225
miR-125b and Edn1 (rat) co-expression conclusion	real-time PCR 99	PubMed 20531225
miR-126 and CXCL12 (human) co-expression conclusion	Western blot 112	PubMed 19996457
miR-126 and CXCL12 (human) co-expression conclusion	real-time RT-PCR and ELISA 112	PubMed 19996457
miR-126 and CXCL12 (human) co-expression conclusion	luciferase assay 112	PubMed 19996457
miR-126 and IRS1 (human) co-expression conclusion	western blot 121	PubMed 24559646
miR-126 and IRS1 (human) co-expression conclusion	PCR 121	PubMed 24559646
miR-126 and RGS16 (human) co-expression conclusion	Western blot 113	PubMed 19996457
miR-126 and RGS16 (human) co-expression conclusion	Western blot 113	PubMed 19996457
miR-126 and RGS16 (human) co-expression conclusion	Real-time RT-PCR 113	PubMed 19996457
miR-126 and RGS16 (human) co-expression conclusion	Real-time RT-PCR 113	PubMed 19996457
miR-126 and RGS16 (human) co-expression conclusion	luciferase assay 111	PubMed 19996457
miR-126 and RGS16 (human) co-expression conclusion	luciferase assay 111	PubMed 19996457
miR-126 and RGS16 (human) co-expression conclusion	real-time RT-PCR and ELISA 111	PubMed 19996457
miR-126 and RGS16 (human) co-expression conclusion	real-time RT-PCR and ELISA 111	PubMed 19996457
miR-126 and RGS16 (human) co-expression conclusion	Western blot 111	PubMed 19996457
miR-126 and RGS16 (human) co-expression conclusion	Western blot 111	PubMed 19996457
miR-126 and Rgs16 (mouse) co-expression conclusion	real-time RT-PCR 114	PubMed 19996457
miR-126 and Rgs16 (mouse) co-expression conclusion	Western blot 114	PubMed 19996457
miR-126 and Rgs16 (mouse) co-expression conclusion	immunohistochemistry 114	PubMed 19996457
miR-126 and TOM1 (human) co-expression conclusion	western blot 123	PubMed 24559646
miR-126 and TOM1 (human) co-expression conclusion	PCR 123	PubMed 24559646
miR-128 and CASC3 (human) co-expression conclusion	luciferase assays 156	PubMed 21596314
miR-128 and UPF1 (human) co-expression conclusion	luciferase assays 155	PubMed 21596314
miR-132 and TGFB2 (human) co-expression conclusion	RT-PCR 165	PubMed 23281030
miR-142-5p and NFE2L2 (human) co-expression conclusion	qRT-PCR 203	PubMed 23236440
miR-142-5p and NFE2L2 (human) co-expression conclusion	qRT-PCR 203	PubMed 23236440
miR-142-5p and NFE2L2 (human) co-expression conclusion	luciferase assay 202	PubMed 23236440
miR-142-5p and NFE2L2 (human) co-expression conclusion	luciferase assay 202	PubMed 23236440
miR-142-5p and NFE2L2 (human) co-expression conclusion	luciferase assay based reporter assay 203	PubMed 23236440
miR-142-5p and NFE2L2 (human) co-expression conclusion	luciferase assay based reporter assay 203	PubMed 23236440
miR-142-5p and NFE2L2 (human) co-expression conclusion	qRT-PCR 202	PubMed 23236440
