[target_gene]	miRNA
BACE1 (human)	miR-339-5p
BCL2L11 (human)	miR-24
CASC3 (human)	miR-128
CX3CL1 (human)	miR-29b
CYR61 (human)	miR-22
Camk2a (mouse)	miR-152
Camk2a (mouse)	miR-148a
Camk2a (mouse)	miR-148b
Dusp5 (mouse)	miR-181a
Dusp6 (mouse)	miR-181a
Ezh2 (mouse)	miR-214
Fasl (mouse)	miR-21
Foxo1 (rat)	miR-486 
HAS2 (human)	miR-23a-3p
HNRNPA3 (human)	miR-494
IGF1 (human)	miR-29b
IGF1 (human)	miR-29a
MCAM (human)	miR-329
NFE2L2 (human)	miR-144
Nampt (mouse)	miR-34a
Ogn (mouse)	miR-22
PDIA3 (human)	miR-494
PIK3R2 (human)	miR-126
Pten (rat)	miR-486 
Ptpn22 (mouse)	miR-181a
RAD23B (human)	miR-494
SEMA6A (human)	miR-23
SEMA6D (human)	miR-23
SIRT1 (human)	miR-195
SIRT1 (human)	miR-217
SPRED1 (human)	miR-126
SYNCRIP (human)	miR-494
Sox6 (mouse)	miR-499
UPF1 (human)	miR-128
VCAM1 (human)	miR-126
