[target_gene]	miRNA
ABCA1 (human)	miR-758
ABCA1 (human)	miR-33b
ABCA1 (human)	miR-33
AGTR1 (human)	miR-155
ATF6 (human)	miR-199a-5p
Abca1 (mouse)	miR-33
App (rat)	miR-106b
App (rat)	miR-153
App (rat)	miR-101
App (rat)	miR-17-5p
BACE1 (human)	miR-29b
BACE1 (human)	miR-339-5p
BACH1 (human)	miR-155
BCL2 (human)	miR-365
BCL2 (human)	miR-195
BCL2L11 (human)	miR-24
BTRC (human)	miR-10a
Bace1 (rat)	miR-15b
Bace1 (rat)	miR-9
Bace1 (rat)	miR-135a
Bace1 (rat)	miR-124
Bace1 (rat)	miR-29c
Bace1 (rat)	miR-19a
Bace1 (rat)	miR-195
Bace1 (rat)	miR-141
Bace1 (rat)	miR-16
Bace1 (rat)	miR-214
Bcl2 (mouse)	miR-34a
CASC3 (human)	miR-128
CCL3 (human)	miR-223
CCND1 (human)	miR-494
CCND1 (human)	miR-19a
CDC25A (human)	Let-7b
CDC25A (human)	Let-7e
CDC34 (human)	Let-7e
CDC34 (human)	Let-7b
CDCA2 (human)	miR-494
CDK2 (human)	miR-1248
CDK4 (human)	miR-34a
CDK6 (human)	Let-7b
CDK6 (human)	miR-494
CDK6 (human)	Let-7e
CDKN1B (human)	miR-222
CDKN1B (human)	miR-221
CDKN1C (human)	miR-221
CDKN1C (human)	miR-222
CRK (human)	miR-126
CX3CL1 (human)	miR-29b
CXCL12 (human)	miR-126
CXCL2 (human)	miR-223
CYR61 (human)	miR-22
Camk2a (mouse)	miR-152
Camk2a (mouse)	miR-148a
Camk2a (mouse)	miR-148b
Cbx1 (mouse)	miR-208a
Ccl3 (mouse)	miR-223
Cdkn1b (mouse)	miR-222
Cdkn1b (mouse)	miR-221
Cdkn1c (mouse)	miR-222
Cdkn1c (mouse)	miR-221
Col1a1 (mouse)	miR-29
Col1a2 (mouse)	miR-29
Col3a1 (mouse)	miR-29
Cx3cl1 (mouse)	miR-29a
Cx3cl1 (mouse)	miR-29b
Cxcl2 (mouse)	miR-223
DCP1B (human)	miR-138-5p
DNMT1 (human)	miR-148a
DUSP6 (human)	miR-181a
Dek (mouse)	miR-489
Dusp5 (mouse)	miR-181a
Dusp6 (mouse)	miR-181a
